IdVictima,GeneroDelito,TipoDelito
16743,Narcóticos,CPF Art. 195 P. 1
21877,Narcóticos,CPF Art. 195 P. 1
4006,Narcóticos,CPF Art. 195 P. 1
30787,Narcóticos,CPF Art. 195 P. 1
8472,Narcóticos,CPF Art. 195 P. 1
31578,Narcóticos,CPF Art. 195 P. 1
27276,Narcóticos,CPF Art. 195 P. 1
4460,Narcóticos,CPF Art. 195 P. 1
25157,Narcóticos,CPF Art. 195 P. 1
30017,Narcóticos,CPF Art. 195 P. 1
8763,Narcóticos,CPF Art. 195 P. 1
13330,Narcóticos,CPF Art. 195 P. 1
8286,Narcóticos,CPF Art. 195 P. 1
21679,Narcóticos,CPF Art. 195 P. 1
22441,Narcóticos,CPF Art. 195 P. 1
10814,Narcóticos,CPF Art. 195 P. 1
29395,Narcóticos,CPF Art. 195 P. 1
14419,Narcóticos,CPF Art. 195 P. 1
22545,Narcóticos,CPF Art. 195 P. 1
9623,Narcóticos,CPF Art. 195 P. 1
11560,Narcóticos,CPF Art. 195 P. 1
12300,Narcóticos,CPF Art. 195 P. 1
25914,Narcóticos,CPF Art. 195 P. 1
22687,Narcóticos,CPF Art. 195 P. 1
20815,Narcóticos,CPF Art. 195 P. 1
10303,Narcóticos,CPF Art. 195 P. 1
14197,Narcóticos,CPF Art. 195 P. 1
25753,Narcóticos,CPF Art. 195 P. 1
31294,Narcóticos,CPF Art. 195 P. 1
9511,Narcóticos,CPF Art. 195 P. 1
21485,Narcóticos,CPF Art. 195 P. 1
22226,Narcóticos,CPF Art. 195 P. 1
8466,Narcóticos,CPF Art. 195 P. 1
22350,Narcóticos,CPF Art. 195 P. 1
9989,Narcóticos,CPF Art. 195 P. 1
19733,Narcóticos,CPF Art. 195 P. 1
25744,Narcóticos,CPF Art. 195 P. 1
21219,Narcóticos,CPF Art. 195 P. 1
23194,Narcóticos,CPF Art. 195 P. 1
23003,Narcóticos,CPF Art. 195 P. 1
25757,Narcóticos,CPF Art. 195 P. 1
15840,Narcóticos,CPF Art. 195 P. 1
18787,Narcóticos,CPF Art. 195 P. 1
24577,Narcóticos,CPF Art. 195 P. 1
31259,Narcóticos,CPF Art. 195 P. 1
21009,Narcóticos,CPF Art. 195 P. 1
23652,Narcóticos,CPF Art. 195 P. 1
25845,Narcóticos,CPF Art. 195 P. 1
11307,Narcóticos,CPF Art. 195 P. 1
6959,Narcóticos,CPF Art. 195 P. 1
25942,Narcóticos,CPF Art. 195 P. 1
25822,Narcóticos,CPF Art. 195 P. 1
20321,Narcóticos,CPF Art. 195 P. 1
25948,Narcóticos,CPF Art. 195 P. 1
24176,Narcóticos,CPF Art. 195 P. 1
20904,Narcóticos,CPF Art. 195 P. 1
28049,Narcóticos,CPF Art. 195 P. 1
20476,Narcóticos,CPF Art. 195 P. 1
24709,Narcóticos,CPF Art. 195 P. 1
22680,Narcóticos,CPF Art. 195 P. 1
20813,Narcóticos,CPF Art. 195 P. 1
23817,Narcóticos,CPF Art. 195 P. 1
19852,Narcóticos,CPF Art. 195 P. 1
22642,Narcóticos,CPF Art. 195 P. 1
30495,Narcóticos,CPF Art. 195 P. 1
19380,Narcóticos,CPF Art. 195 P. 1
28887,Narcóticos,CPF Art. 195 P. 1
24572,Narcóticos,CPF Art. 195 P. 1
31577,Narcóticos,CPF Art. 195 P. 1
27279,Narcóticos,CPF Art. 195 P. 1
20657,Narcóticos,CPF Art. 195 P. 1
23387,Narcóticos,CPF Art. 195 P. 1
30325,Narcóticos,CPF Art. 195 P. 1
28000,Narcóticos,CPF Art. 195 P. 1
27391,Narcóticos,CPF Art. 195 P. 1
22715,Narcóticos,CPF Art. 195 P. 1
22565,Narcóticos,CPF Art. 195 P. 1
22666,Narcóticos,CPF Art. 195 P. 1
20780,Narcóticos,CPF Art. 195 P. 1
25149,Narcóticos,CPF Art. 195 P. 1
20659,Narcóticos,CPF Art. 195 P. 1
31353,Narcóticos,CPF Art. 195 P. 1
24697,Narcóticos,CPF Art. 195 P. 1
24969,Narcóticos,CPF Art. 195 P. 1
23368,Narcóticos,CPF Art. 195 P. 1
26677,Narcóticos,CPF Art. 195 P. 1
23915,Narcóticos,CPF Art. 195 P. 1
21559,Narcóticos,CPF Art. 195 P. 1
31693,Narcóticos,CPF Art. 195 P. 1
22335,Narcóticos,CPF Art. 195 P. 1
31734,Narcóticos,CPF Art. 195 P. 1
30549,Narcóticos,CPF Art. 195 P. 1
30236,Narcóticos,CPF Art. 195 P. 1
23100,Narcóticos,CPF Art. 195 P. 1
28074,Narcóticos,CPF Art. 195 P. 1
26162,Narcóticos,CPF Art. 195 P. 1
30306,Narcóticos,CPF Art. 195 P. 1
30769,Narcóticos,CPF Art. 195 P. 1
22435,Narcóticos,CPF Art. 195 P. 1
22508,Narcóticos,CPF Art. 195 P. 1
