IdSentenciado,aniosPrision,mesesPrision,diasPrision,bReparacion,bReparacionDefinir,bDecomiso,sBienesDecomisados,bBeneficioCondicional,bSustitutivoPena
6,4.00,0.00,0.00,No,No,Si,622.433 gramos del psicotrópico denominado metanfetamina y 10.070 gramos del estupefaciente Cannabis Sativa L.,Si,Si
7,4.00,0.00,0.00,No,No,Si,622.433 gramos del psicotrópico denominado metanfetamina y 10.070 gramos del estupefaciente Cannabis Sativa L,Si,Si
8,4,0,0,No,No,Si,armas y narcoticos,Si,Si
9,4,0,0,No,No,Si,armas y narcóticos,Si,Si
10,3,0,0,No,No,Si,armas y narcótico,Si,Si
13,0.00,9.00,0.00,No,No,Si,95 gramos 800 miligramos de metanfetamina,Si,Si
14,3.00,0.00,0.00,No,No,Si,arma y cartuchos,Si,Si
16,10,0,0,No,No,Si,narcótico,No,No
17,10,0,0,No,No,Si,narcótico,No,No
19,10,0,0,No,No,Si,narcótico,No,No
22,10,0,0,No,No,Si,narcóticos,No,No
23,4.00,0.00,0.00,No,No,Si,arma y cartuchos,No,No
24,4,0,0,No,No,Si,arma,No,No
25,3.00,4.00,0.00,No,No,Si,narcotico afecto a la causa,No,Si
26,4.00,0.00,0.00,No,No,Si,NARCOTICO,No,No
27,4.00,0.00,0.00,No,No,Si,NARCOTICO AFECTO ,No,No
28,4.00,0.00,0.00,No,No,Si,NARCOTICO,No,No
29,4.00,0.00,0.00,No,No,Si,NARCOTICO,No,No
31,4.00,2.00,0.00,No,No,Si,narcotico,No,No
33,0,0,0,No,No,Si,NARCOTICO,No,No
34,4.00,0.00,0.00,No,No,Si,ARMAS,No,No
35,4.00,0.00,0.00,No,No,Si,narcoticos,No,No
36,4.00,0.00,0.00,No,No,Si,narcoticos,No,No
37,4.00,0.00,0.00,No,No,Si,narcoticos,No,No
38,0,0,0,No,No,Si,arma,No,No
40,5,0,0,No,No,Si,armas,No,No
42,4.00,0.00,0.00,No,No,Si,narcotico,No,No
44,6,6,0,No,No,Si,objetos bélicos atribuidos,No,No
45,0,10,0,No,No,Si,narcotico,Si,No
46,2,0,0,No,No,Si,objeto bélico,No,No
51,6.00,10.00,0.00,No,No,Si,Metanfetamina,No,No
52,0.00,7.00,15.00,No,No,Si,Clorhidrato de metanfetamina,Si,Si
63,4.00,0.00,0.00,No,No,Si, LSD dietilamida del ácido d lisérgico ,Si,Si
64,3.00,6.00,0.00,No,No,Si,escopeta,No,Si
74,3.00,4.00,15.00,No,No,Si,Arma de fuego con cargador y cartuchos ,Si,Si
75,2.00,6.00,25.00,No,No,Si,-Arma -Cargador -Cartuchos  -Bolsa tipo "mariconera",No,Si
77,1.00,4.00,0.00,No,No,Si,Un arma de fuego tipo revolver calibre .38 matrícula 27754.,Si,No
78,2.00,3.00,0.00,No,No,Si,Arma de fuego,Si,Si
79,6.00,8.00,0.00,No,No,Si,Trescientos treinta y cinco gramos quinientos miligramos peso neto de clorhidrato de metanfetamina.,No,No
85,4.00,0.00,0.00,No,No,Si,Once kilos doscientos cuarenta y un gramos ochocientos miligramos.,Si,No
88,2.00,8.00,0.00,Si,No,Si,-9 garrafones ,Si,Si
90,3.00,0.00,0.00,No,No,Si,Arma de fuego,Si,Si
91,4.00,0.00,0.00,No,No,Si,-Arma de Fuego y dos cargadores -Hoja de manifestación,Si,No
99,4.00,0.00,0.00,No,No,Si,81.07 gramos de clorhidrato de metanfetamina,Si,Si
100,4.00,0.00,0.00,No,No,Si,81.07 gramos de clorhidrato de metanfetamina,Si,Si
103,2.00,0.00,0.00,No,No,Si,Decomiso de un arma de fuego y un cargador con seis cartuchos útiles.,Si,Si
104,1.00,4.00,2.00,Si,No,Si,-Clavos y hombros metálicos objetos del delito.,Si,Si
106,4.00,0.00,0.00,No,No,Si,Narcoticos,Si,No
109,3.00,4.00,0.00,No,No,Si,psicotrópico y estupefaciente asegurados,Si,Si
110,6.00,8.00,0.00,No,No,Si,psicotrópico,No,No
111,4.00,0.00,0.00,No,No,Si,artefactos bélicos,Si,No
116,2.00,10.00,0.00,Si,No,Si,Ejemplar de fauna,Si,Si
118,2.00,10.00,0.00,Si,No,Si,Ejemplares de vida silvestre afecta que aún permanecen con vida,Si,No
119,4.00,0.00,0.00,No,No,Si,narcótico relacionado ,Si,Si
122,4.00,0.00,0.00,No,No,Si,objetos y narcóticos asegurados,Si,Si
123,4.00,0.00,0.00,No,No,Si,Objetos y narcóticos asegurados,Si,Si
124,4.00,8.00,0.00,No,No,Si,objetos y narcóticos,No,No
128,3.00,10.00,0.00,No,No,Si,objetos bélicos relacionados ,Si,Si
129,3.00,2.00,12.00,No,No,Si,una receta con folio 10011620961001H,Si,No
132,3,0,0,No,No,Si,narcótico,Si,No
134,3,4,0,No,No,Si,objetos bélicos atribuidos,Si,Si
135,3,4,0,No,No,Si,objetos bélicos atribuidos,Si,Si
136,0.00,5.00,0.00,No,No,Si,Narcótico,Si,Si
137,2.00,0.00,0.00,No,No,Si,Objeto bélico y accesorios.,Si,Si
139,3,4,0,No,No,Si,objetos bélicos atribuidos,Si,No
140,3,4,0,No,No,Si,objetos bélicos atribuidos,Si,No
143,9,0,0,No,No,Si,objetos bélicos atribuidos,No,No
145,0,0,0,No,No,Si,objetos bélicos y narcóticos atribuidos,No,No
146,2.00,7.00,27.00,No,No,Si,Narcótico denominado marihuana,Si,No
147,1.00,4.00,0.00,No,No,Si,Arma,Si,Si
148,12,2,0,No,No,Si,objetos bélicos y narcótico atribuidos,No,No
