Id_de_sentencia,IdSentenciado,SentidoSentencia,Sexo,Edad
27001,159075003,Condenatoria,Hombre,50
23706,159118955,Condenatoria,Hombre,38
25622,159174171,Condenatoria,Hombre,54
26924,159206413,Condenatoria,Hombre,37
23396,159243211,Condenatoria,Hombre,28
29065,159327049,Condenatoria,Hombre,35
22500,159381845,Condenatoria,Hombre,33
21506,159582073,Condenatoria,Hombre,25
26700,159648842,Condenatoria,Hombre,56
22503,159834296,Condenatoria,Hombre,40
24817,159879982,Condenatoria,Hombre,45
24008,159955748,Condenatoria,Hombre,38
27450,159961882,Condenatoria,Hombre,35
29149,160235778,Condenatoria,Mujer,30
23708,160362123,Condenatoria,Hombre,43
23838,160367664,Condenatoria,Hombre,29
25536,160387461,Condenatoria,Hombre,22
27443,160413782,Condenatoria,Hombre,24
28494,160523791,Condenatoria,Hombre,37
25707,160562438,Condenatoria,Hombre,47
23740,160722567,Condenatoria,Hombre,27
28602,160820235,Condenatoria,Hombre,28
29921,160851421,Condenatoria,Hombre,26
24423,160868716,Condenatoria,Hombre,26
27460,160869502,Condenatoria,Hombre,30
29347,160871993,Condenatoria,Hombre,28
24779,160878328,Condenatoria,Hombre,31
27005,160899064,Condenatoria,Hombre,25
30367,161341835,Condenatoria,Hombre,25
29914,161502910,Condenatoria,Hombre,35
24695,161533711,Condenatoria,Hombre,25
29883,161628292,Condenatoria,Hombre,39
25305,161629141,Condenatoria,Hombre,31
24589,161674466,Condenatoria,Hombre,51
27865,161848382,Condenatoria,Hombre,26
28020,162145055,Condenatoria,Mujer,47
25962,162202076,Condenatoria,Hombre,23
26938,162397589,Condenatoria,Hombre,32
29078,162546732,Condenatoria,Hombre,37
29984,162760579,Condenatoria,Hombre,35
28442,162805102,Condenatoria,Hombre,36
28442,162805104,Condenatoria,Hombre,36
26653,162845574,Condenatoria,Hombre,3
29289,163196060,Condenatoria,Hombre,42
28439,163197081,Condenatoria,Mujer,36
28115,163240361,Condenatoria,Hombre,32
28187,163304218,Condenatoria,Hombre,21
28843,163359708,Condenatoria,Hombre,35
28668,163438057,Condenatoria,Hombre,24
26982,163440269,Condenatoria,Hombre,46
29276,163443131,Condenatoria,Hombre,27
28639,163463566,Condenatoria,Hombre,25
27171,163822392,Condenatoria,Hombre,37
30189,163952924,Condenatoria,Hombre,26
28025,164178344,Condenatoria,Hombre,37
26594,164189080,Condenatoria,Hombre,20
30145,164331380,Condenatoria,Hombre,21
29160,164392466,Condenatoria,Hombre,30
30106,164572495,Condenatoria,Hombre,24
28482,164714228,Condenatoria,Mujer,38
28210,165002092,Condenatoria,Hombre,32
30215,165213103,Condenatoria,Hombre,49
28464,165335169,Condenatoria,Hombre,21
29129,165802390,Condenatoria,Hombre,32
27818,165936640,Condenatoria,Hombre,35
29672,167863584,Condenatoria,Hombre,55
1555,115559964,Absolutoria,Hombre,45
11896,118708085,Condenatoria,Hombre,31
12886,120067691,Condenatoria,Hombre,48
189,120241487,Absolutoria,Hombre,50
12446,120259675,Condenatoria,Hombre,40
11920,120383798,Condenatoria,Hombre,40
1062,120699246,Condenatoria,Hombre,31
1019,120777797,Condenatoria,Hombre,33
12365,121125787,Condenatoria,Hombre,49
12938,121588587,Condenatoria,Hombre,60
10957,122012287,Condenatoria,Mujer,45
13031,123498946,Condenatoria,Mujer,31
10972,123746958,Condenatoria,Hombre,29
9386,124232520,Condenatoria,Hombre,61
327,125287086,Condenatoria,Hombre,37
1085,125650587,Condenatoria,Hombre,32
11443,125768698,Condenatoria,Hombre,54
2274,125901065,Condenatoria,Hombre,34
9689,125932250,Condenatoria,Mujer,30
390,126442925,Condenatoria,Hombre,62
9761,126643272,Condenatoria,Hombre,31
673,126662333,Mixta,Mujer,34
12419,126807033,Condenatoria,Hombre,25
13250,126865966,Condenatoria,Hombre,35
349,127406483,Condenatoria,Hombre,38
12498,127426637,Absolutoria,Hombre,45
11039,127485765,Condenatoria,Hombre,48
11058,127511708,Condenatoria,Mujer,33
11077,127638186,Condenatoria,Hombre,33
11897,127827545,Condenatoria,Hombre,49
13212,128609770,Condenatoria,Hombre,41
1382,128655122,Condenatoria,Mujer,59
12361,128988775,Condenatoria,Hombre,35
12726,129526760,Condenatoria,Mujer,35
653,129644837,Condenatoria,Hombre,48
11599,130108176,Condenatoria,Mujer,59
11591,130264336,Condenatoria,Hombre,24
11558,130312214,Condenatoria,Hombre,31
