Id_de_sentencia,Centro_de_Justicia,Causa_Penal,Juez,TipoSentencia,Relevante,Perspectiva_de_Género,Fecha_de_Auto_de_Apertura_a_Juicio_Oral,Fecha_de_sentencia,Sentenciados,Victimas,Criterios,Exclusión_violación_DD_HH_en_JO
30167,Acapulco,263/2022,CRESCENCIO CONTRERAS MARTÍNEZ,Procedimiento Abreviado,No,No,,03/02/2023 12:00:00 a. m.,1,1,,No
29984,Acapulco,141/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,30/01/2023 12:00:00 a. m.,1,1,,No
29983,Acapulco,110/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,27/01/2023 12:00:00 a. m.,1,1,,No
29879,Acapulco,266/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,24/01/2023 12:00:00 a. m.,1,1,,No
29883,Acapulco,103/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,24/01/2023 12:00:00 a. m.,1,1,,No
29721,Acapulco,229/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,20/01/2023 12:00:00 a. m.,1,1,,No
29726,Acapulco,176/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,20/01/2023 12:00:00 a. m.,1,1,,No
29719,Acapulco,86/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,18/01/2023 12:00:00 a. m.,1,1,,No
29685,Acapulco,131/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,28/12/2022 12:00:00 a. m.,2,1,,No
29437,Acapulco,267/2022,CRESCENCIO CONTRERAS MARTÍNEZ,Procedimiento Abreviado,No,No,,27/12/2022 12:00:00 a. m.,1,1,,No
29205,Acapulco,85/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,26/12/2022 12:00:00 a. m.,1,1,,No
29160,Acapulco,186/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,20/12/2022 12:00:00 a. m.,1,1,,No
29434,Acapulco,375/2020,CRESCENCIO CONTRERAS MARTÍNEZ,Procedimiento Abreviado,No,No,,20/12/2022 12:00:00 a. m.,1,1,,No
29159,Acapulco,261/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,19/12/2022 12:00:00 a. m.,1,1,,No
29429,Acapulco,156/2022,CRESCENCIO CONTRERAS MARTÍNEZ,Procedimiento Abreviado,No,No,,19/12/2022 12:00:00 a. m.,3,1,,No
29129,Acapulco,233/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,16/12/2022 12:00:00 a. m.,1,1,,No
28956,Acapulco,256/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,08/12/2022 12:00:00 a. m.,1,1,,No
29084,Acapulco,333/2019,CRESCENCIO CONTRERAS MARTÍNEZ,Procedimiento Abreviado,No,No,,08/12/2022 12:00:00 a. m.,1,1,,No
28954,Acapulco,199/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,07/12/2022 12:00:00 a. m.,1,1,,No
28955,Acapulco,249/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,07/12/2022 12:00:00 a. m.,1,1,,No
28843,Acapulco,151/2022,CRESCENCIO CONTRERAS MARTÍNEZ,Procedimiento Abreviado,No,No,,02/12/2022 12:00:00 a. m.,1,1,,No
29008,Acapulco,152/2022,CRESCENCIO CONTRERAS MARTÍNEZ,Procedimiento Abreviado,No,No,,02/12/2022 12:00:00 a. m.,1,1,,No
28886,Acapulco,167/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,01/12/2022 12:00:00 a. m.,1,1,,No
28887,Acapulco,180/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,01/12/2022 12:00:00 a. m.,1,1,,No
28627,Acapulco,181/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,29/11/2022 12:00:00 a. m.,1,1,,No
28468,Acapulco,189/2022,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,28/11/2022 12:00:00 a. m.,1,1,,No
28531,Acapulco,194/2022,CRESCENCIO CONTRERAS MARTÍNEZ,Procedimiento Abreviado,No,No,,28/11/2022 12:00:00 a. m.,1,1,,No
28418,Acapulco,177/2020,JOAQUIN ALBERTO RUIZ GARCÍA,Procedimiento Abreviado,No,No,,25/11/2022 12:00:00 a. m.,1,1,,No
28331,Acapulco,227/2022,CRESCENCIO CONTRERAS MARTÍNEZ,Procedimiento Abreviado,No,No,,15/11/2022 12:00:00 a. m.,1,1,,No
