Id_de_sentencia,IdVictima,TipoPersona,TipoVictima,Sexo,FchVictimizanteIni,FchVictimizanteFin,ViolaciónDerechoHumano
1222,1360,Persona Jurídica,,Se desconoce,29/03/2015 12:00:00 a. m.,29/03/2015 12:00:00 a. m.,No
3315,3808,Persona Jurídica,,Se desconoce,12/04/2015 12:00:00 a. m.,12/04/2015 12:00:00 a. m.,No
1748,1952,Persona Jurídica,,Se desconoce,05/08/2015 12:00:00 a. m.,05/08/2015 12:00:00 a. m.,No
1748,2183,Persona Jurídica,Directa,No tiene valor,05/08/2015 12:00:00 a. m.,05/08/2015 12:00:00 a. m.,No
3329,3830,Persona Jurídica,,Se desconoce,01/04/2015 12:00:00 a. m.,01/04/2015 12:00:00 a. m.,No
1831,2076,Persona Jurídica,,Se desconoce,27/09/2015 12:00:00 a. m.,27/09/2015 12:00:00 a. m.,No
1555,1717,Persona Jurídica,,Se desconoce,30/11/2015 12:00:00 a. m.,30/11/2015 12:00:00 a. m.,No
201,643,Persona Jurídica,Directa,No tiene valor,02/12/2015 12:00:00 a. m.,02/12/2015 12:00:00 a. m.,No
2084,2381,Persona Jurídica,,Se desconoce,30/03/2015 12:00:00 a. m.,30/03/2015 12:00:00 a. m.,No
1268,1410,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1144,1279,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1235,1374,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2191,2541,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
961,1079,Persona Jurídica,,Se desconoce,19/08/2015 12:00:00 a. m.,19/08/2015 12:00:00 a. m.,No
1241,1409,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1246,1407,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1201,1329,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1250,1386,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1256,1391,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
930,1049,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
521,612,Persona Jurídica,,Se desconoce,04/12/2015 12:00:00 a. m.,04/12/2015 12:00:00 a. m.,No
1529,1692,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1260,1408,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
2290,2667,Persona Jurídica,,Se desconoce,26/11/2015 12:00:00 a. m.,26/11/2015 12:00:00 a. m.,No
2721,3151,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
5827,6567,Persona Física,Directa,Mujer,26/09/2015 12:00:00 a. m.,26/09/2015 12:00:00 a. m.,No
5827,6568,Persona Física,Directa,Mujer,26/09/2015 12:00:00 a. m.,26/09/2015 12:00:00 a. m.,No
3127,3664,Persona Física,Directa,Mujer,26/09/2015 12:00:00 a. m.,26/09/2015 12:00:00 a. m.,No
3127,3665,Persona Física,Directa,Mujer,26/09/2015 12:00:00 a. m.,26/09/2015 12:00:00 a. m.,No
3123,3606,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
1155,1289,Persona Jurídica,,,01/01/1900 12:00:00 a. m.,01/01/1900 12:00:00 a. m.,
